Source,Link,Text
UP,https://life.pravda.com.ua/culture/shveciya-ta-yunesko-vidilili-12-mln-kron-na-poryatunok-hortici-314577,"Міністерство культури Швеції спільно з ЮНЕСКО виділили 12 мільйонів шведських крон, що приблизно 1,3 мільйона доларів США для проведення консерваційних робіт та підтримки Національного заповідника ""Хортиця"" у Запоріжжі. Про це йдеться на сайті ЮНЕСКО. Ініціатива охоплює екстрену консервацію, документування пошкоджених об'єктів і ""розбудову професійного потенціалу"" у сфері збереження спадщини. Проєкт передбачає масштабні археологічні рятувальні роботи та створення стандартизованого цифрового реєстру пошкоджених об'єктів. За словами постійного представника України при ЮНЕСКО Вадима Омельченко, захист Хортиці сьогодні визначає, чи зможуть майбутні покоління працювати з цією спадщиною: ""Хортиця, зважаючи на свою історичну цінність, є символом стійкості та ідентичності українського народу. Захищаючи її сьогодні, ми забезпечуємо можливість майбутнім поколінням продовжувати черпати знання з її спадщини та надихатися нею"". Хортиця зазнає дедалі більшого впливу війни, ситуацію ускладнюють бойобі дії та екологічні наслідки підриву Каховська ГЕС у 2023 році. Різке зниження рівня води оголило археологічні шари, які десятиліттями зберігалися під водою, і посилило ерозію берегів біля пам'ятки. Серед першочергових кроків — невідкладний ремонт Музею заповідника ""Хортиця"", який постраждав від неодноразових обстрілів. Планують стабілізувати умови зберігання на площі близько 3 тисяч квадратних метрів, щоб убезпечити фонди та поступово відновити доступ для відвідувачів. Також розширять кліматично контрольовані сховища для понад 5 тисяч врятованих артефактів, зокрема тих, що були знайдені на нещодавно відкритих ділянках берегової лінії. ""Швеція залишатиметься непохитною у своїй підтримці України в її зусиллях із захисту та збереження культурної спадщини, зміцнення суспільної єдності, а також у прагненні до справедливого і тривалого миру"", - наголошує посол, постійна представниця Швеції при ЮНЕСКО Гелена Сонгеланд. Плануюють також приділити увагу навчанню молодих українських фахівців у галузі археології та консервації. Програма реалізовуватиметься у партнерстві з українськими університетами та за участі шведського Музей Ваза, який поділиться досвідом у сфері археології."
UP,https://epravda.com.ua/biznes/za-kvartal-ukrzaliznicya-prodala-5-3-milyona-kvitkiv-z-derzhpidtrimkoyu-820775,"У першому кварталі 2026 року понад 5,3 млн залізничних квитків було придбано за доступними тарифами завдяки механізму держзамовлення, близько 2,6 мільйона пасажирів їхали у прифронтові області та у зворотному напрямку. Про це повідомляє Міністерство розвитку громад та територій України. У першому кварталі 2026 року понад 5,3 млн залізничних квитків було придбано за доступними тарифами завдяки механізму державного замовлення. Механізм розробили Мінрозвитку спільно з Міністерством фінансів України. Він передбачає компенсацію Укрзалізниці різниці між ціною квитка для пасажира та фактичною собівартістю перевезень. Особливе значення державна підтримка має для сполучення з прифронтовими регіонами, зазначають у Мінрозвитку. ""У першому кварталі цього року майже половина всіх пасажирів — близько 2,6 мільйона людей — подорожували саме у прифронтові області та у зворотному напрямку"", — зазначив віцепрем'єр-міністр з відновлення України – міністр розвитку громад та територій України Олексій Кулеба. Найпопулярнішими напрямками у першому кварталі 2026 року стали Київ — Львів, Київ — Дніпро, Київ — Харків, Київ — Вінниця та Київ — Одеса. Зважаючи на те, що фактична собівартість однієї поїздки в середньому більш ніж утричі перевищує вартість квитка, важлива державна підтримка перевезень. Завдяки механізму держзамовлення тарифи для пасажирів залишаються максимально доступними. Це критично важливо в умовах воєнного стану, коли залізницею активно користуються військовослужбовці, їхні родини, внутрішньо переміщені особи та інші громадяни, які потребують підтримки держави, говориться у повідомленні. Експериментальний механізм державного замовлення є важливим перехідним кроком до моделі PSO (Public Service Obligation), яка широко застосовується в країнах Європейського Союзу. У 2026 році держава планує спрямувати близько 16 млрд грн на підтримку внутрішніх пасажирських перевезень далекого сполучення. Від 25 квітня ""Укрзалізниця"" розпочинає продаж квитків у вагонах люкс за новими коефіцієнтами: вартість квитків і буде калібруватись в залежності від кількох факторів. Раніше  повідомлялося, що ""Укрзалізниця"" реалізувала цей сервіс: відтепер студенти можуть купувати пільгові квитки на приміські поїзди та City Express безпосередньо у застосунку УЗ. Раніше  повідомлялося, що Україна та Болгарія працюють над запуском пасажирського залізничного сполучення через Румунію. ""Укрзалізниця""  розглядає впровадження страхування пасажирів за моделлю як при авіаперевезеннях, щоб покривати ризики затримок поїздів і шкоди здоров'ю. ""Укрзалізниця""  запроваджує оновлені правила повернення квитків, щоб пасажирам було вигідніше здавати їх завчасно."
UP,https://www.pravda.com.ua/news/2026/04/23/8031520/,"У Львові 23 квітня автомобіль ТЦК наїхав на 57-річну жінку, яка вчинила конфлікт та намагалася перешкодити виїзду. Поліцейські призначили службове розслідування. Джерело: поліція Львівської області, Львівський обласний ТЦК та СП, відео із соцмереж Деталі: Як повідомляють у поліції, на вулиці Пороховій під час проведення заходів оповіщення службовий автомобіль ТЦК SsangYong Rexton наїхав на 57-річну жінку, яка намагалась перешкодити виїзду з двору. Потерпілу доставили в лікарню. Поліцейські, які поруч виконували своє службове завдання, стали очевидцями події. Вони наздогнали авто ТЦК, зупинили, встановили особу водія та ""запросили його у територіальний підрозділ поліції для надання пояснення"". Правоохоронці додали, що призначили службове розслідування. У Львівському ТЦК пояснили, що під час здійснення заходів оповіщення, один із чоловіків, який перебував у розшуку як порушник військового обліку, відмовився пред'явити документи та почав чинити опір. Дослівно  ТЦК: ""Під час спроби перевірки його військово-облікових документів на місці події з'явилася його дружина, яка спровокувала конфлікт. Згодом вона намагалася закрити ворота двору, щоб перешкодити виїзду службового автомобіля. Відео, поширене в соціальних мережах, підтверджує, що дорожньо-транспортна пригода за участю жінки та службового автомобіля сталася з вини пішохода. Остаточну правову оцінку діям усіх учасників інциденту нададуть правоохоронні органи"". Деталі: Військові ТЦК додали, що чоловік наразі вже проходить військово-лікарську комісію. Читайте також: ""Їдеш по селу, а воно – як мертвий техаський городок, тільки перекотиполя не хватає"". Як зсередини виглядає служба в ТЦК"
UP,https://life.pravda.com.ua/society/biyci-14-ji-brigadi-perebuvayut-na-poziciyah-bez-jizhi-ta-vodi-314578,"У мережі набрала розголосу ситуація довкола бійців 14-ї бригади 2-го механізованого батальйону ЗСУ, які служать на Харківському напрямку. За словами рідних, військові вже впродовж 8 місяців перебувають у вкрай складному становищі – на позиціях систематично немає їжі та питної води. Про ситуацію у Threads розповіла донька колишнього військового бригади Іванна Побережнюк. Вона зазначила, що військових прикомандирували до 30-ї бригади 2-го батальйону. ""Хлопці на позиціях без їжі та води! Командування не реагує. Бійці втрачають свідомість від голоду, пʼють дощову воду. Зі звʼязком теж проблеми"", – написала дівчина. У коментарі для ""УП. Життя"" Іванна розповіла, що її батька демобілізували за станом здоров'я. Однак чоловік підтримує контакт із побратимами, тож під час листування вони розповіли про складні умови та надіслали власні фото. ""Хлопці від 25 серпня мали затримки з їжею, водою, бензином та іншими необхідними речами. Воду добували дощову, коли вже бракувало"", – зазначила дівчина. Дружина одного з бійців Анастасія Сільчук опублікувала допис у Facebook, в якому також попросила командування звернути увагу на ситуацію. Вона оприлюднила звернення військових. ""Ми добровільно стали на захист України в перший день повномасштабного вторгнення. Просимо вище командування розібратися з цією ситуацією та не допустити зрадницьких дій! Кожна посилка – на 7-14 днів. Воду добуваємо самі – дощову, зимою топили сніг. Якщо її скидали, то 1,4-2,5 літри. Часті ситуації, коли зовсім немає зв'язку по 3-4 доби. Така ситуація на всіх наших позиціях. Доставка навіть критичних медикаментів відбувається тільки разом з їжею"", – йдеться у ньому. На допис у Threads відреагували у Міністерстві оборони України. Там запевнили, що командир 14-ї бригади взяв це питання на контроль. ""Попри ускладнену логістику, намагаються вирішити питання із забезпеченням хлопців та їх заміною. До таких ситуацій не має доходити, але обстановка на різних напрямках фронту буває доволі критичною. Командування бригади та корпусу на зв'язку з рідними"", – зауважили у відомстві. За словами Іванни, після розголосу ситуація дещо змінилася, зокрема за останню добу військовим передали чотири посилки з їжею. Також командування вийшло на контакт із рідними. У 14-й окремій механізованій бригаді у коментарі для ""УП. Життя"" повідомили, що ситуацію контролює новий командир, а поставки їжі ускладнюють проблеми з логістикою. ""Це абсолютно не виправдовує ситуації, що склалася, але комунікація є. Нещодавно призначений полковник Тарас Максімов говорив з родинами. Також після оприлюднення інформації була ще доставка. Повірте, робиться максимально, щоб цю ситуацію виправити і налагодити логістику. Але це – надзвичайно складно"", – розповіла начальниця відділу комунікацій бригади, майор Надія Замрига."
UP,https://www.pravda.com.ua/news/2026/04/23/8031517/,"Міністр закордонних справ Угорщини, що залишає посаду, Петер Сійярто заявив, що він ""ніколи не служив російським інтересам"". Джерело: Сійярто в інтерв'ю Telex, ""Європейська правда"" Деталі: У Сійярто запитали, чи можна вважати його діяльність державною зрадою. ""Мені це особисто болить. 11 років я працював над нормальними, прагматичними відносинами з Росією"", – заявив він. Глава МЗС Угорщини стверджує, що його країна ""виграла"" від дешевшої енергії РФ. Також він заявив, що його ображає, коли його називають проросійським, бо він ""ніколи не служив російським інтересам"". ""Звинувачувати когось у зраді – це дуже серйозна справа"", – акцентував Сійярто. Варто зазначити, що Сійярто був найпомітнішим обличчям проросійської політики прем'єр-міністра Угорщини Віктора Орбана. Раніше оприлюднені записи телефонних розмов, у яких Сійярто нібито передавав деталі зустрічей міністрів закордонних справ ЄС главі МЗС Росії Сергєю Лаврову, викликали політичний скандал під час виборчої кампанії Орбана. Згідно з транскриптами, Сійярто неодноразово відвідував Москву після 2022 року та пропонував допомогу в пом'якшенні санкцій ЄС. Нагадаємо, нещодавно майбутній прем'єр-міністр Угорщини Петер Мадяр заявив, що Сійярто зайнятий знищенням важливих документів щодо санкцій. Можлива майбутня очільниця міністерства закордонних справ Угорщини Аніта Орбан попередила його, що знищення документів є протиправним діянням."
UP,https://www.pravda.com.ua/news/2026/04/23/8031513/,"Підрозділи ВМС ЗСУ знищили ворожий морський безекіпажний катер, який намагався наблизитися до одного з портів Одеси. Дослівно: ""Ворожий морський безекіпажний катер, що намагався наблизитися до одного з портів Одеси, було оперативно виявлено та успішно знищено""."
UP,https://epravda.com.ua/finances/yakiy-oficiyniy-kurs-dolara-ta-yevro-na-24-kvitnya-820771,"У п'ятницю, 24 квітня, офіційний курс євро до гривні зменшиться на 11 копійок до 51,38 грн. Про це свідчать дані на сайті Національного банку України. Своєю чергою офіційний курс долара збільшиться на 6 копійок до 43,94 грн. Офіційні курси на п'ятницю 24 квітня встановлено на такому рівні: Читайте також: Рекордний курс: чому знецінюється гривня і чого очікувати далі? Американські гірки. Чому знецінюється долар та яким буде курс гривні у 2026-му? Історичний максимум долара був встановлений 13 березня - 44,16 грн."
UP,https://www.pravda.com.ua/news/2026/04/23/8031512/,"У четвер, 23 квітня, Європейський Союз затвердив 20-й пакет санкцій проти Росії, до якого увійшли понад 100 індивідуальних обмежень, посилення тиску на енергетичний сектор і ""тіньовий флот"", а також нові заходи проти фінансових установ у третіх країнах та компаній, що підтримують російський військово-промисловий комплекс. Джерело: офіційна заява Ради ЄС, ""Європейська правда"" Деталі: Як зазначається, до нового пакета санкцій проти РФ ввійшли, зокрема, 120 нових індивідуальних санкцій, а також багаторівневі економічні санкції, спрямовані проти ключових секторів, які підживлюють війну Росії проти України. Новий пакет містить основу для майбутньої заборони на морські перевезення російської сирої нафти та нафтопродуктів. Зазначається, що це буде відбуватися у повній координації та за результатами обговорення з G7 та міжнародної коаліції з обмеження цін. Санкційний пакет запроваджує комплексний перелік із 36 суб'єктів, що охоплює як видобувну, так і переробну ланки російського енергетичного сектору, зокрема: розвідку, видобуток, переробку та транспортування нафти. ""Цей пакет стратегічно націлений на нових гравців, які нещодавно збільшили свою частку на експортному ринку. Доходи від експорту російської нафти додатково обмежуються за допомогою списків, зосереджених на екосистемі тіньового флоту, включаючи суб'єктів, що діють у третіх країнах, а також значного морського страховика"", – йдеться у заяві. Завдяки пакету ще 46 суден тепер підпадають під заборону на доступ до портів та заборону на надання широкого спектра послуг, пов'язаних з морським транспортом, що збільшує загальну кількість суден у списку до 632. Він також запроваджує обов'язкові перевірки належної ретельності при продажу танкерів, а також забороняє надання послуг з технічного обслуговування та інших послуг для російських танкерів для зрідженого природного газу (ЗПГ) та криголамів. Крім того, з січня 2027 року буде незаконним надавати послуги СПГ-терміналів російським суб'єктам або суб'єктам, що належать або контролюються російськими громадянами чи операторами. Цим пакетом ЄС також націлює заборону на транзакції на чотири фінансові установи в третіх країнах за обхід санкцій ЄС або за зв'язок із ""Російською системою передачі фінансових повідомлень"" – російською банківською мережею обміну повідомленнями. Окрім цього, він ще більше обмежує російський військово-промисловий комплекс, додавши до списку 58 компаній та пов'язаних з ними осіб, які, серед іншого, займаються розробкою та виробництвом військової продукції, такої як дрони. Вперше в історії ЄС застосовує свій інструмент протидії обходу санкцій, заборонивши експорт будь-яких верстатів з числовим програмним керуванням та радіоапаратури до Киргизстану, де ""існує високий ризик того, що ці товари будуть реекспортовані до Росії"". Також ЄС запровадив квоту на імпорт аміаку. Рада ЄС 23 квітня за письмовою процедурою ухвалила зміни до довгострокового бюджету ЄС на 2021-27 роки, які дозволять надати Україні 90 млрд євро кредиту у 2026-27 роках, а також 20-й пакет санкцій ЄС проти Росії. А міністр закордонних справ Естонії Маргус Тсахкна повідомив, що роботу над новим пакетом вже розпочато."
UKRINFORM,https://www.ukrinform.ua/rubric-regions/4115869-rosiani-vdarili-po-zaliznicnij-infrastrukturi-u-krivomu-rozi-poskodzenij-vokzal.html,"Як передає Укрінформ, про це Укрзалізниця повідомила у Фейсбуці. Люди не постраждали, оскільки перебували в укриттях. В Укрзалізниці поінформували про незначні пошкодження вокзалу: вибуховою хвилею пошкоджені кілька вікон і дверей. У компанії підкреслили, що все буде оперативно відновлено. Пасажирів закликали бути уважними і виконувати вказівки залізничників. Як повідомляв Укрінформ, 19 квітня у Полтавському районі російський безпілотник атакував залізничну інфраструктуру."
UKRINFORM,https://www.ukrinform.ua/rubric-polytics/4115868-cvk-zareestruvala-olenu-kiivec-narodnim-deputatom-vid-slugi-narodu.html,"Про це повідомили у ЦВК, передає Укрінформ. «Під час сьогоднішнього засідання Комісія розглянула заяву і необхідні документи Олени Київець та відповідно до законодавства зареєструвала її народною депутаткою України, обраною на позачергових виборах народних депутатів України 21 липня 2019 року в загальнодержавному багатомандатному виборчому окрузі від політичної партії «Слуга народу». Олена Київець була включена до виборчого списку цієї партії під № 161», - зазначається у повідомленні. Депутатські повноваження вона набуде з моменту складення присяги у Верховній Раді України, пояснили в установі. Як повідомляв Укрінформ, у зв'язку з достроковим припиненням повноважень народного депутата Дар’ї Володіної ЦВК визнала Олену Київець, наступну за черговістю кандидатку, включену до виборчого списку партії «Слуга народу» під № 161, обраною народною депутаткою України."
